관광지명,관광지구분,소재지도로명주소,위도,경도,관리기관전화번호,관리기관명,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,주차가능수,category
보광동 무후묘,관광지,서울특별시 용산구 장문로15나길 6,37.527058,126.9973443,02-2199-7240,서울특별시 용산구청 문화진흥과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
새남터 순교성지,관광지,서울특별시 용산구 이촌로 80-8,37.52512658,126.9570717,070-8672-0327,새남터 성당,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,20,기타
좌천동굴,관광지,부산광역시 동구 고관로185번길 1,35.13325838,129.0522683,051-440-4711,부산광역시 동구청 문화관광과,전기시설,정보없음,정보없음,정보없음,정보없음,정보없음,0,자연
만화카페,관광지,부산광역시 동구 성북로 31,35.13675143,129.0496096,051-440-4711,부산광역시 동구청 문화관광과,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,1,카페/디저트
명란브랜드연구소,관광지,부산광역시 동구 영초윗길 22-1,35.117117,129.035016,051-440-4714,부산광역시 동구청 문화관광과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,테마파크/놀이공원
속초해수욕장,관광지,강원특별자치도 속초시 해오름로 186,38.19014884,128.6035305,033-639-2544,강원특별자치도 속초시청,관리사무소+샤워탈의장+공중화장실+도로+주차장,리조트단지(호텔/콘도),해수풀장,해양관+휴게소+전망대+테마거리+조경휴양공간+다목적잔디광장,정보없음,정보없음,550,계절별 명소
척산온천,관광지,강원특별자치도 속초시 관광로 327,38.19020313,128.5407019,033-639-2544,강원특별자치도 속초시청,도로+주차장,호텔+아쿠아훼미리호텔+온천호텔+채플+pool빌라,정보없음,설악예방의학센터+월드스파+푸드코드+키즈캠프+레스토랑/카페동,정보없음,정보없음,350,자연
오동도,관광지,전라남도 여수시 오동도로 222,34.7443435,127.764121,061-659-1819,전라남도 여수시청,화장실+동백열차,정보없음,U-Bike,음악분수대,관광안내소,관리사무소,356,기타
분원백자자료관,관광지,경기도 광주시 남종면 산수로 1642-1,37.49625742,127.3034492,031-799-1500,경기도자박물관,주차장+화장실,정보없음,정보없음,백자자료관,정보없음,해당없음,0,기타
장도전수관,관광지,전라남도 광양시 광양읍 매천로 771,34.97705608,127.5805515,061-763-0510,광양 장도박물관,화장실+주차장+기념품판매소,정보없음,정보없음,정보없음,정보없음,정보없음,1000,기타
도립미술관,관광지,전라남도 광양시 순광로 680-4,34.96887104,127.5903033,061-797-2227,전라남도 광양시청 문화예술과,화장실+주차장+기념품판매소,정보없음,정보없음,미술관+전시관,카페테리아,관리사무소,1000,문화
광양와인동굴,관광지,전라남도 광양시 광양읍 강정길 33,34.96130264,127.6085909,061-794-7788,광양 와인동굴,화장실+주차장+기념품판매소+특산품판매소+매표소,정보없음,정보없음,해당없음,카페테리아,관리사무소,1000,자연
광양역사문화관,관광지,전라남도 광양시 광양읍 매천로 829,34.9757671,127.5859802,061-797-1985,전라남도 광양시청 문화예술과,주차장+화장실,정보없음,정보없음,전시관,정보없음,관리사무소,1000,철도/교통 체험
성류굴 관광지,관광지,경상북도 울진군 근남면 성류굴로 202,36.95884825,129.3794409,054-789-5402,경상북도 울진군청,도로+주차장+광장+화장실+오수처리장,펜션하우스,정보없음,동굴생태전시관+야외공연장,정보없음,정보없음,91,기타
백암온천 관광지,관광지,경상북도 울진군 온정면 온천로 7,36.72132775,129.343467,054-789-5480,경상북도 울진군청,도로+주차장+정류장+공원+녹지+소하천+온천공+소방시설+국유림관리소+배수지,호텔+콘도미니엄+국민호텔+교육원+여관+펜션,다목적운동장+축구장+잔디썰매장+체력단련장+극기체험장+족구장+서바이벌게임장,회의장+전망대+조경휴게소+자연학습장,정보없음,정보없음,501,온천/스파
유관순 열사 추모비,관광지,서울특별시 용산구 녹사평대로40다길 37,37.53587802,126.9897044,02-2199-7240,서울특별시 용산구청 문화진흥과,관리사무소+쉼터,정보없음,정보없음,정보없음,정보없음,정보없음,0,역사
한강 나루터,관광지,,37.530347,127.007028,02-2199-7240,서울특별시 용산구청 문화진흥과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
큰한강 부군당(한남제1부군당),관광지,서울특별시 용산구 한남대로8길 9-9,37.531338,127.0103972,02-2199-7240,서울특별시 용산구청 문화진흥과,화장실+쉼터,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
작은한강 부군당(한남제2부군당),관광지,서울특별시 용산구 장문로49길 17-10,37.529112,127.0047267,02-2199-7240,서울특별시 용산구청 문화진흥과,화장실+쉼터,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
이슬람 중앙성원,관광지,서울특별시 용산구 우사단로10길 39,37.5332513,126.997615,02-793-6908,한국이슬람교,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,50,기타
이바구공작소,관광지,부산광역시 동구 망양로486번길 14-13,35.11709939,129.0338233,051-440-4711,부산광역시 동구청 문화관광과,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,2,기타
장기려더나눔센터,관광지,부산광역시 동구 영초윗길 48,35.11853593,129.0326526,051-440-4711,부산광역시 동구청 문화관광과,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,2,기타
이바구충전소,관광지,부산광역시 동구 영초윗길 25,35.11735028,129.034686,051-440-4712,부산광역시 동구청 문화관광과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
168계단 부대시설,관광지,부산광역시 동구 영초윗길26번길 14,35.1176995,129.0353474,051-440-4712,부산광역시 동구청 문화관광과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
김민부전망대,관광지,부산광역시 동구 영초윗길26번길 14,35.1176995,129.0353474,051-440-4712,부산광역시 동구청 문화관광과,전기시설,정보없음,정보없음,정보없음,정보없음,정보없음,0,야경/전망대
유치환의 우체통,관광지,부산광역시 동구 망양로580번길 2,35.12209588,129.0338423,051-440-4714,부산광역시 동구청 문화관광과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
소흥관(한중우호센터),관광지,부산광역시 동구 초량중로 36,35.11507608,129.0375502,051-440-4711,부산광역시 동구청 문화관광과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
만화체험관,관광지,부산광역시 동구 성북로 42-1,35.13778041,129.0497944,051-440-4711,부산광역시 동구청 문화관광과,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,2,체험
안용복기념 부산포개항문화관,관광지,부산광역시 동구 증산로 100,35.13563677,129.0529467,051-440-4711,부산광역시 동구청 문화관광과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,자연
선바위관광지,관광지,경상북도 영양군 입암면 영양로 883-16,36.60854407,129.0820141,054-680-5363,경상북도 영양군청,화장실+주차장+문화관광해설사 대기소,정보없음,어린이놀이터,야외공연장+분재수석야생화테마파크+고추홍보전시관+잔디밭 등,정보없음,정보없음,70,기타
예술의전당,관광지,서울특별시 서초구 남부순환로 2406,37.4802402,127.0142152,02-580-1300,예술의전당,오페라글라스+물품보관소+키즈라운지+수유실+주차요금+사전정산기+은행ATM,정보없음,정보없음,오페라극장+CJ 토월극장+자유소극장+콘서트홀+IBK챔버홀+리사이틀홀+한가람미술관+서예박물관 등,정보없음,정보없음,1212,문화
국립국악원,관광지,서울특별시 서초구 남부순환로 2364,37.47835156,127.0090736,02-580-3300,국립국악원,화장실+주차장+카페,정보없음,정보없음,국악박물관+예악당+우면당+연희풍류극장+국악연수관+야외체험관,정보없음,정보없음,227,기타
헌인릉,관광지,서울특별시 서초구 헌인릉길 36-10,37.46537744,127.0837156,02-440-0347,문화재청,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,20,기타
매헌 윤봉길의사 기념관,관광지,서울특별시 서초구 매헌로 99,37.4730498,127.0369771,02-577-9932,국가보훈처,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,50,문화
고투몰,관광지,서울특별시 서초구 신반포로 지하200,37.50622031,127.0050517,02-535-8182,강남터미널지하쇼핑몰,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
세빛섬· 반포대교 달빛무지개분수,관광지,서울특별시 서초구 올림픽대로 2085-14,37.5124362,126.9959623,1566-3433,효성티앤씨,화장실+주차장,정보없음,수상컨벤션센터,미디어아트갤러리+전망대,정보없음,정보없음,635,기타
고씨굴 관광지,관광단지,강원특별자치도 영월군 김삿갓면 영월동로 1111,37.13117779,128.5352623,033-375-6556,영월군시설관리공단,화장실(2동)+주차장+관광안내소+전기+통신+상하수도시설,모텔(2동),정보없음,박물관+전시관,관광식당,정보없음,470,기타
진해해양레포츠센터,관광지,경상남도 창원시 진해구 천자로 160,35.14129989,128.6883002,055-712-0445,창원시설관리공단,화장실+탈의실+샤워실+강의실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
무주 덕유산 리조트,관광지,전북특별자치도 무주군 설천면 만선로 185,35.889797,127.731389,063-320-2547,전북특별자치도 무주군청,화장실+주차장,관광호텔+가족호텔+호스텔,골프장+스키장,정보없음,관광식당,전용숙소,10000,자연
월봉서원,관광지,광주광역시 광산구 광곡길 133,35.23583653,126.7451862,062-960-8255,광주광역시 광산구청,화장실(1)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,10,기타
무양서원,관광지,광주광역시 광산구 산월로21번길 26,35.21001305,126.8400956,062-960-8255,광주광역시 광산구청,화장실(1)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,6,기타
치산관광지,관광지,경상북도 영천시 신녕면 신암길 17,36.04693281,128.712821,054-330-6582,경상북도 영천시청,공용화장실+공영주차장,캐라반 6인용+캐빈하우스+캐라반 8인용,족구장,치산캠핑장,소공연장,전용숙소,281,자연
천지연폭포,관광지,제주특별자치도 서귀포시 남성중로 2-15(서홍동),33.2447447,126.5595511,064-760-6300,제주특별자치도 서귀포시청,관리사무소+화장실(3동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,181,자연
정방폭포,관광지,제주특별자치도 서귀포시 칠십리로214번길 37(동홍동),33.24474912,126.5730486,064-760-6300,제주특별자치도 서귀포시청,관리사무소+화장실(1동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,95,자연
주상절리대,관광지,제주특별자치도 서귀포시 이어도로 36-30(중문동),33.23799399,126.4260174,064-760-6300,제주특별자치도 서귀포시청,관리사무소+화장실(1동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,80,기타
천제연폭포,관광지,제주특별자치도 서귀포시 천제연로 132(중문동),33.2526783,126.4183754,064-760-6300,제주특별자치도 서귀포시청,관리사무소+화장실(1동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,141,자연
산방산,관광지,제주특별자치도 서귀포시 안덕면 산방로 218-11,33.23697818,126.312306,064-760-6300,제주특별자치도 서귀포시청,관리사무소+화장실(1동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,26,자연
용머리해안,관광지,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-30,33.23342738,126.3136956,064-760-6300,제주특별자치도 서귀포시청,관리사무소+화장실(2동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,123,기타
불회사,관광지,전라남도 나주시 다도면 다도로 1224-142,34.90877918,126.8234812,061-337-3440,불회사,화장실,템플스테이,정보없음,체험프로그램,정보없음,정보없음,20,기타
금성관,관광지,전라남도 나주시 금성관길 8,35.03335643,126.7165553,061-339-8615,전라남도 나주시청,안내소+화장실,정보없음,정보없음,문화관광해설사,정보없음,정보없음,100,기타
도래마을(홍기옥 가옥),관광지,전라남도 나주시 다도면 동력길 16,34.9981825,126.8223995,061-336-3675,전라남도 나주시청,안내소+화장실,민박,정보없음,산책로,정보없음,정보없음,30,전통
정수루,관광지,전라남도 나주시 금성관길 13-20,35.03193288,126.7150148,061-330-8114,전라남도 나주시청,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,100,기타
나주향교,관광지,전라남도 나주시 향교길 38,35.03403137,126.711466,061-334-2369,나주향교,화장실,정보없음,정보없음,체험프로그램+전시관,정보없음,정보없음,15,기타
완사천,관광지,전라남도 나주시 완사천길 14,35.01496092,126.7128194,061-339-8615,전라남도 나주시청,화장실,정보없음,정보없음,산책로,정보없음,정보없음,10,기타
목사내아,관광지,전라남도 나주시 금성관길 13-8,35.0320205,126.7151642,061-332-6565,전라남도 나주시청,관리실+화장실,한옥체험,정보없음,숙박실,정보없음,정보없음,100,기타
영모정,관광지,전라남도 나주시 다시면 회진길 14-8,34.9973737,126.6671219,061-339-8615,전라남도 나주시청,관리실+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,5,기타
남고문,관광지,,35.0295791,126.7204701,061-330-7823,전라남도 나주시청,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,200,기타
구)나주역,관광지,전라남도 나주시 죽림길 26,35.0280742,126.7262445,061-330-7823,전라남도 나주시청,주차장+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,16,기타
노안천주교회,관광지,전라남도 나주시 노안면 이슬촌길 108,35.10432714,126.6754469,061-336-8900,노안천주교회,화장실,정보없음,정보없음,노안천주교회,정보없음,정보없음,10,기타
나주시천연염색박물관,관광지,전라남도 나주시 다시면 백호로 379,34.99403168,126.6625254,061-335-0091,전라남도 나주시청,화장실,정보없음,정보없음,체험관+전시관,정보없음,정보없음,100,문화
나주목문화관,관광지,전라남도 나주시 금성관길 15,35.03232804,126.7157031,061-332-5432,전라남도 나주시청,화장실,정보없음,정보없음,전시관,정보없음,정보없음,50,기타
중흥골드스파&리조트,관광지,전라남도 나주시 다도면 나주호로 558-314,34.94833414,126.8714774,061-339-5000,나주관광개발㈜,회의실+화장실,콘도+펜션,수상레포츠,수영장+스파+전시관,관광식당,정보없음,3000,온천/스파
제천온천관광지,관광지,,36.92183352,128.1819714,043-641-6694,충청북도 제천시청,관리사무소+도로+주차장+오수처리장+배수지,휴양콘도미니엄,정보없음,한방온천장(워터파크포함)+조경휴게지,정보없음,상가+완충녹지+원형보존녹지,0,온천/스파
교리관광지,관광지,충청북도 제천시 청풍면 청풍호로 1798,37.01656717,128.1768531,043-641-6694,충청북도 제천시청,오수정화조+정배수장+소각장+공중화장실+주차장+도로,청풍레이크호텔+청풍힐호텔+민박촌,다목적운동장+구기장+놀이동산+미니골프장,조경휴게소+녹지공원+다목적광장+격납고,정보없음,관리원 숙소+하천+유보지+녹지,200,기타
유당공원,관광지,전라남도 광양시 광양읍 백운로 14,34.97010442,127.5924243,061-797-4979,전라남도 광양시청 공원녹지과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,1000,산책/휴식
서천무지개분수대,관광지,,34.9735109,127.5756854,061-797-4979,전라남도 광양시청 공원녹지과,주차장+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,1000,기타
은평역사한옥박물관,관광지,서울특별시 은평구 연서로50길 8,37.64033246,126.9380102,02-351-8525,서울특별시 은평구청,"장난감도서관, 휴게실, 화장실 등",없음,없음,"은평역사실, 한옥전시실",매표소(안내),정보없음,26,문화
금성당,관광지,서울특별시 은평구 진관2로 57-23,37.63513547,126.92538,02-388-6522,서울특별시 은평구청,화장실,없음,없음,정보없음,정보없음,정보없음,0,기타
지리산허브밸리,관광지,전북특별자치도 남원시 운봉읍 바래봉길 214,35.435092,127.548617,063-620-6254,전북특별자치도 남원시청,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,150,자연
남원백두대간생태교육장전시관,관광지,전북특별자치도 남원시 운봉읍 운봉로 151,35.397328,127.5079302,063-620-5752,전북특별자치도 남원시청,주차장,정보없음,어린이 놀이시설,야외공연장,정보없음,정보없음,95,자연
보문관광단지,관광단지,경상북도 경주시 보문로 446,35.843673,129.2869659,054-779-6082,경상북도 경주시청,도로+동사무소+파출소+소방서+우체국+물레방아광장 등,특급호텔(5개소)+소형호텔(3개소)+콘도미니엄(5개소)+여관(8개소) 등,"회원제 골프장(36홀, 1개소)+퍼브릭골프장(18홀, 1개소)+유희 시설(경주월드) 등",컨벤션 센터+연수 및 수련시설+청소년수련시설+신라밀레니엄+종합스포츠시설+소공원 등,휴게식당+한식요식점+상가 등,정보없음,540,기타
백야 김좌진 장군 생가,관광지,충청남도 홍성군 갈산면 백야로 546번길 12,36.59786571,126.5471345,041-634-6952,충청남도 홍성군청,문화관광해설사 배치+화장실+주차장,정보없음,정보없음,박물관,정보없음,정보없음,60,역사
한용운선생생가지,관광지,충청남도 홍성군 결성면 만해로 318번길 83,36.56214158,126.5529499,041-642-6716,충청남도 홍성군청,문화관광해설사 배치+화장실+주차장,정보없음,정보없음,박물관,정보없음,정보없음,50,역사
성삼문 선생 유허지,관광지,충청남도 홍성군 홍북읍 매죽헌길 403-12,36.64524478,126.7310363,041-630-1221,충청남도 홍성군청,문화관광해설사 배치+화장실+주차장,정보없음,정보없음,고택,정보없음,정보없음,0,역사
홍주성 역사관,관광지,충청남도 홍성군 홍성읍 아문길 20,36.60019877,126.6609204,041-630-9240,충청남도 홍성군청,문화관광해설사 배치+화장실+주차장+체험실,정보없음,정보없음,박물관,정보없음,정보없음,0,철도/교통 체험
충남보훈관,관광지,충청남도 홍성군 홍성읍 상하천로,36.602981,126.660651,041-635-1090,충청남도 홍성군청,문화관광해설사 배치+화장실+주차장+체험실,정보없음,정보없음,전시장,정보없음,정보없음,2,기타
홍주의사총,관광지,충청남도 홍성군 홍성읍 의사로 79,36.6048297,126.6708805,041-633-8733,충청남도 홍성군청,문화관광해설사 배치+화장실+주차장,정보없음,정보없음,사적,정보없음,정보없음,80,기타
결성동헌,관광지,충청남도 홍성군 흥남서로 738번길,36.551381,126.611921,041-634-8712,충청남도 홍성군청,문화관광해설사 배치+화장실+주차장,정보없음,정보없음,문화재,정보없음,정보없음,20,기타
광명동굴,관광지,경기도 광명시 가학로 85번길 142,37.42467857,126.8634321,070-4277-8902,경기도 광명도시공사,주차장+화장실+매표소+방문자센터,정보없음,VR체험관+공포체험관,라스코전시관+예술의전당+미디어타워,푸드코트+노천카페+이동판매대+와인판매대+기념품샵,정보없음,899,자연
죽성드림세트장,관광지,,35.24113258,129.2479302,051-709-4081,부산광역시 기장군청 관광진흥과,화장실(2동) +주차장,정보없음,산책로+포토존,관광홍보전시관,안내데스크,정보없음,20,기타
박태준기념관,관광지,부산광역시 기장군 장안읍 임랑해안길 1,35.316877,129.261226,051-709-3975,산림청,화장실 +주차장+도서관,정보없음,산책로,도서관+기념관 전시실,안내데스크,정보없음,9,문화
달음산자연휴양림,관광지,부산광역시 기장군 일광읍 화용길 299-106,35.291977,129.213303,051-722-3023,부산광역시 기장군청 문화체육과,화장실+주차장,관광숙박시설,산책로+운동시설,숲 체험공간,안내센터,정보없음,50,자연
롯데월드 부산,관광지,부산광역시 기장군 기장읍 동부산관광로 42,35.19603043,129.2129711,1661-2000,롯데,화장실+주차장,관광숙박시설,테마파크,테마파크,안내센터,정보없음,1000,자연
대전문화예술단지,관광단지,대전광역시 서구 둔산대로 169,36.366496,127.3880154,042-270-8333,N,Y,N,Y,Y,N,Y,751,문화
으능정이문화의거리,관광지,대전광역시 중구 중앙로 170,36.32934665,127.428337,042-252-7100,N,Y,N,Y,Y,N,Y,355,기타
유성온천,관광지,대전광역시 유성구 계룡로60,36.3547298,127.3375865,042-611-2114,N,Y,N,Y,Y,N,Y,0,온천/스파
금월봉관광지,관광지,충청북도 제천시 금성면 청풍호로 1316,37.04384263,128.1736527,043-641-6694,충청북도 제천시청,관리사무소+주차장+공중화장실+오수처리장+정수장(배수지)+도로+이벤트광장+변전소,빌라형+테라스형1+테라스형2+별장형+타워형,정보없음,조경휴게소,정보없음,상가+보전녹지+기타녹지,300,기타
계산관광지,관광지,,37.017861,128.130911,043-641-6694,충청북도 제천시청,주차장+도로+배수지오수처리장,펜션,운동장+눈썰매장,조경휴게소+바비큐장+전망대,정보없음,완충녹지+원형보존녹지,0,자연
만남의광장,관광지,충청북도 제천시 청풍면 청풍호로50길 6,37.01083356,128.1811895,043-641-6694,충청북도 제천시청,도로+광장+공용주차장+매표소(매점)+화장실,정보없음,번지점프장+인공암벽장+종합관리동,만남의광장+휴게쉼터+야생화원,정보없음,정보없음,264,기타
제천 성내관광지,관광지,충청북도 제천시 금성면 청풍호로 1482,37.03366403,128.1751729,043-641-6694,충청북도 제천시청,도로+광장+주차장+관리동+화장실,정보없음,정보없음,촬영장+휴게쉼터,정보없음,전문음식점+기념품(토산품점)+녹지,0,기타
사성암,관광지,전라남도 구례군 문척면 사성암길 303,35.18012828,127.480644,061-781-4544,전라남도 구례군청,화장실+주차장+상하수도시설,정보없음,정보없음,정보없음,정보없음,정보없음,20,기타
운조루,관광지,전라남도 구례군 토지면 운조루길 59,35.20594498,127.5152886,061-782-2432,전라남도 구례군청,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,20,기타
한국압화박물관,관광지,전라남도 구례군 구례읍 동산1길 29,35.19664998,127.4599106,061-780-2082,전라남도 구례군청,화장실+주차장+상하수도시설,정보없음,정보없음,정보없음,정보없음,정보없음,10,문화
지리산역사문화관,관광지,전라남도 구례군 마산면 화엄사로 377-36,35.24408524,127.4837599,061-780-8040,전라남도 구례군청,화장실+주차장+상하수도시설,정보없음,정보없음,정보없음,정보없음,정보없음,30,자연
섬진강어류생태관,관광지,전라남도 구례군 간전면 간전중앙로 47,35.18745224,127.5465226,0507-1330-366,전라남도 구례군청,"화장실, 주차장, 상하수도시설",정보없음,정보없음,정보없음,정보없음,정보없음,50,자연
충렬사,관광지,부산광역시 동래구 충렬대로 345,35.199577,129.0959922,051-523-4223,충렬사관리사무소,안내소+화장실(1동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,10,기타
해양자연사박물관,관광지,부산광역시 동래구 우장춘로 175 (온천동),35.2219498,129.075647,051-593-4944,부산해양자연사박물관,안내소+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,문화
에듀팜특구관광단지(벨포레리조트),관광단지,충청북도 증평군 도안면 벨포레길 346,36.84514868,127.5821182,1566-0162,㈜블랙스톤에듀팜리조트,관리사무소+화장실+주차장,휴양콘도(펫동반 가능 객실 보유),골프장+익스트림루지+수상레저+마리나클럽+디노시네마+몬테소리+미디어아트센터+모토아레나,벨포레목장+국제정원+펫포레플레이그라운드 및 힐링코스,정보없음,정보없음,2776,기타
동구릉,관광지,경기도 구리시 동구릉로 197,37.6171286,127.136334,031-563-2909,문화재청,관리사무소+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,109,기타
당항포관광지,관광지,경상남도 고성군 회화면 당항만로 1116,35.05322615,128.3920276,055-670-7400,경상남도 고성군청,관리사무소+매표소(게이트)+화장실+샤워장+취사장+주차장+오수처리장,펜션+오토캠핑장,미끄럼틀+야외풀장+모험놀이장+족구장 2면+야외 대공연장+소공연장,오토캠핑장,식당,펜션,1572,기타
남당,관광지,,36.53886252,126.4716002,041-630-1300,충청남도 홍성군청,관광안내소+화장실+주차장,정보없음,홍성승마체험장,상황리오토캠핑장,정보없음,정보없음,408,기타
송도해수욕장,관광지,부산광역시 서구 송도해변로 100,35.07682117,129.0180502,051-240-4126,부산광역시 서구청,화장실,정보없음,송도구름산책로+해상다이빙대+해양레포츠센터+바닥분수대 등,탈의실+샤워장+분수대+파고라+테마거리 등,임해행정봉사실,정보없음,1047,계절별 명소
암남공원,관광지,부산광역시 서구 암남공원로 185,35.0616574,129.0149368,051-240-4538,부산광역시 서구청,화장실,정보없음,낚시터+레포츠 시설 등,음수대+조각작품 등,관리사무소,정보없음,341,산책/휴식
구덕문화공원,관광지,부산광역시 서구 꽃마을로 163번길 73,35.12641369,129.005742,051-240-3521,부산광역시 서구청,화장실,정보없음,정보없음,교육역사관+민속생활관+목석원예관+인공폭포+편백숲 명상의 길+다목적관,정보없음,정보없음,16,산책/휴식
중앙공원,관광지,부산광역시 서구 대신공원로 37-18,35.121591,129.0161785,051-860-7800,부산시설공단 중앙공원사업소,화장실,정보없음,운동시설+궁도장 등,저수지+약수터+산책로+시비+조각품+민속석조물 등,관리사무소,정보없음,110,산책/휴식
부산공동어시장,관광지,부산광역시 서구 충무대로 202,35.08990091,129.0263675,051-254-8961,부산광역시 수산업협동조합,화장실,정보없음,정보없음,정보없음,사무실,정보없음,482,자연
천마산조각공원,관광지,부산광역시 서구 천마산로 209번길 94,35.08903987,129.0174786,051-240-3521,부산광역시 서구청,화장실,정보없음,소운동장 및 각종 체육시설,산책로+전망대+쉼터+조각작품 등,관리실,정보없음,0,자연
구덕운동장,관광지,부산광역시 서구 망양로 57 (씨름체육관 서구 꽃마을로 156번길12),35.11659638,129.0145297,051-602-2211,부산광역시 체육시설관리사업소,화장실,정보없음,주경기장+야구장+체육관 등,정보없음,관리사무소,정보없음,182,기타
임시수도기념관,관광지,부산광역시 서구 임시수도기념로 45,35.10374876,129.0175954,051-244-6345,부산광역시 서구청,화장실,정보없음,정보없음,전시실 등,관리실,정보없음,18,문화
국악의 성지,관광지,전북특별자치도 남원시 운봉읍 비전길 69,35.459997,127.569101,063-620-6905,전북특별자치도 남원시청,주차장,정보없음,정보없음,야외공연장,정보없음,정보없음,50,기타
박차정의사생가,관광지,부산광역시 동래구 명륜로 98번길 129-10(칠산동),35.20169645,129.090397,051-860-7880,동래구 문화시설사업소,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,역사
금강공원,관광지,부산광역시 동래구 우장춘로 155 (온천동),35.21962513,129.075758,051-860-7880,부산시설공단,관리사무소+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,216,산책/휴식
허심청,관광지,부산광역시 동래구 온천장로107번길 32 (온천동),35.221157,129.0826889,051-550-2200,호텔농심,안내데스크+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,200,기타
복천박물관,관광지,부산광역시 동래구 복천로 63(복천동),35.20877662,129.0911741,051-550-0311,복천박물관,안내데스크+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,30,문화
고구려대장간마을,관광지,경기도 구리시 우미내길 41,37.56080787,127.1109492,031-550-8355,경기도 구리시청,관리사무소+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,100,전통
남한산성,관광지,경기도 광주시 남한산성면 남한산성로 731,37.47669636,127.1884165,031-8008-5155,남한산성세계문화유산센터,주차장+화장실,펜션,정보없음,행궁+만해기념관 등,관광식당,해당없음,945,자연
능강관광지,관광지,충청북도 제천시 수산면 옥순봉로 1248,36.99002277,128.1956764,043-641-6694,충청북도 제천시청,주차장+관광정보안내소+관리사무소+오수처리장+정배수장+순환도로+전용상수도,휴양콘도미니엄,골프연습장+미니골프장+노래방+당구장,"산상전망대1,2+찜질방+자연학습장+과수단지+문화관+전통도예방+야외공연장+산정휴게소+명산센터",정보없음,녹지,300,기타
아리랑마을관광지,관광지,전라남도 진도군 임회면 아리랑길 95-5,34.38201529,126.2310334,061-540-3442,전라남도 진도군청,화장실(2동)+주차장(3개소),정보없음,정보없음,아리랑체험관+홍주촌+예술인촌전시관,정보없음,정보없음,150,전통
신정호국민관광지,관광지,충청남도 아산시 신정로 616,36.77152141,126.9839152,041-540-8725,충청남도 아산시청,관리사무소+화장실+주차장+변전실,정보없음,정보없음,정보없음,정보없음,정보없음,670,기타
아산온천관광지,관광지,충청남도 아산시 송악면 도송로632번길 138,36.69884759,126.9666069,041-540-2822,충청남도 아산시청,"관리사무소+,화장실+,주차장+일반광장",정보없음,정보없음,정보없음,정보없음,정보없음,350,자연
노고단,관광지,전라남도 구례군 토지면 반곡길 42-237,35.23629045,127.5547986,061-780-7700,전라남도 구례군청,화장실+주차장+상하수도시설,정보없음,정보없음,정보없음,정보없음,정보없음,200,기타
